datum_tijd,Q
2010-10-05,1446.16
2010-10-06,1421.48
2010-10-07,1392.8
2010-10-08,1362.8
2010-10-09,1329.24
2010-10-10,1284.0
2010-10-11,1245.12
2010-10-12,1216.88
2010-10-13,1188.36
2010-10-14,1153.88
2010-10-15,1114.32
2010-10-16,1083.08
2010-10-17,1070.72
2010-10-18,1067.96
2010-10-19,1067.76
2010-10-20,1090.2
2010-10-21,1109.88
2010-10-22,1112.36
2010-10-23,1113.32
2010-10-24,1118.68
2010-10-25,1153.32
2010-10-26,1177.2
2010-10-27,1165.04
2010-10-28,1158.88
2010-10-29,1187.8
2010-10-30,1215.16
2010-10-31,1221.8
2010-11-01,1202.24
2010-11-02,1177.0
2010-11-03,1163.24
2010-11-04,1155.36
2010-11-05,1146.64
2010-11-06,1132.16
2010-11-07,1126.64
2010-11-08,1164.52
2010-11-09,1195.76
2010-11-10,1252.64
2010-11-11,1371.84
2010-11-12,1467.28
2010-11-13,1542.12
2010-11-14,1699.68
2010-11-15,2096.72
2010-11-16,2520.04
2010-11-17,2562.84
2010-11-18,2355.6
2010-11-19,2276.48
2010-11-20,2274.44
2010-11-21,2169.72
2010-11-22,2016.96
2010-11-23,1886.0
2010-11-24,1768.6
2010-11-25,1669.64
2010-11-26,1631.2
2010-11-27,1624.68
2010-11-28,1607.64
2010-11-29,1599.88
2010-11-30,1595.76
2010-12-01,1561.68
2010-12-02,1514.0
2010-12-03,1472.6
2010-12-04,1432.32
2010-12-05,1399.88
2010-12-06,1390.68
2010-12-07,1380.72
2010-12-08,1353.36
2010-12-09,1351.92
2010-12-10,1507.84
2010-12-11,2232.48
2010-12-12,3142.68
2010-12-13,3848.4
2010-12-14,4162.08
2010-12-15,4127.24
2010-12-16,3823.04
2010-12-17,3355.68
2010-12-18,2881.64
2010-12-19,2489.24
2010-12-20,2214.0
2010-12-21,2048.88
2010-12-22,1944.64
2010-12-23,1930.68
2010-12-24,2113.88
2010-12-25,2591.84
2010-12-26,3119.48
2010-12-27,3455.64
2010-12-28,3356.32
2010-12-29,2982.52
2010-12-30,2617.12
2010-12-31,2330.36
2011-01-01,2143.12
2011-01-02,2031.44
2011-01-03,1966.88
2011-01-04,1909.64
2011-01-05,1844.44
2011-01-06,1782.88
2011-01-07,1767.24
2011-01-08,1917.36
2011-01-09,2749.04
2011-01-10,4052.28
2011-01-11,4962.56
2011-01-12,5597.24
2011-01-13,5613.08
2011-01-14,5365.36
2011-01-15,5359.24
2011-01-16,5650.6
2011-01-17,5793.68
2011-01-18,5669.48
2011-01-19,5307.64
2011-01-20,4892.04
2011-01-21,4517.92
2011-01-22,4085.08
2011-01-23,3595.92
2011-01-24,3162.84
2011-01-25,2808.68
2011-01-26,2545.32
2011-01-27,2370.2
2011-01-28,2242.04
2011-01-29,2164.16
2011-01-30,2098.6
2011-01-31,2010.96
2011-02-01,1913.04
2011-02-02,1825.24
2011-02-03,1742.4
2011-02-04,1687.88
2011-02-05,1652.12
2011-02-06,1622.2
2011-02-07,1578.24
2011-02-08,1554.16
2011-02-09,1558.0
2011-02-10,1555.16
2011-02-11,1544.0
2011-02-12,1537.16
2011-02-13,1571.44
2011-02-14,1656.44
2011-02-15,1716.76
2011-02-16,1744.24
2011-02-17,1751.88
2011-02-18,1727.72
2011-02-19,1677.96
2011-02-20,1608.6
2011-02-21,1542.08
2011-02-22,1494.44
2011-02-23,1456.84
2011-02-24,1426.16
2011-02-25,1405.92
2011-02-26,1395.0
2011-02-27,1377.88
2011-02-28,1382.68
2011-03-01,1388.52
2011-03-02,1393.32
2011-03-03,1393.68
2011-03-04,1397.48
2011-03-05,1378.48
2011-03-06,1363.36
2011-03-07,1333.88
2011-03-08,1312.12
2011-03-09,1294.32
2011-03-10,1279.32
2011-03-11,1250.6
2011-03-12,1217.72
2011-03-13,1195.4
2011-03-14,1172.48
2011-03-15,1153.56
2011-03-16,1141.48
2011-03-17,1130.96
2011-03-18,1127.36
2011-03-19,1116.08
2011-03-20,1115.16
2011-03-21,1117.16
2011-03-22,1139.08
2011-03-23,1192.32
2011-03-24,1224.76
2011-03-25,1219.28
2011-03-26,1196.88
2011-03-27,1161.4
2011-03-28,1124.48
2011-03-29,1104.16
2011-03-30,1089.04
2011-03-31,1079.56
2011-04-01,1074.24
2011-04-02,1074.52
2011-04-03,1066.96
2011-04-04,1058.4
2011-04-05,1079.04
2011-04-06,1086.68
2011-04-07,1076.0
2011-04-08,1072.76
2011-04-09,1086.16
2011-04-10,1099.76
2011-04-11,1076.96
2011-04-12,1051.68
2011-04-13,1035.8
2011-04-14,1025.04
2011-04-15,994.8
2011-04-16,980.84
2011-04-17,986.08
2011-04-18,976.04
2011-04-19,968.52
2011-04-20,955.6
2011-04-21,943.96
2011-04-22,937.32
2011-04-23,922.56
2011-04-24,904.08
2011-04-25,888.08
2011-04-26,868.8
2011-04-27,849.88
2011-04-28,846.76
2011-04-29,856.4
2011-04-30,863.72
2011-05-01,855.96
2011-05-02,855.68
2011-05-03,848.56
2011-05-04,828.32
2011-05-05,816.48
2011-05-06,813.4
2011-05-07,821.16
2011-05-08,815.04
2011-05-09,794.12
2011-05-10,788.48
2011-05-11,784.04
2011-05-12,773.16
2011-05-13,759.96
2011-05-14,751.4
2011-05-15,749.0
2011-05-16,751.24
2011-05-17,765.04
2011-05-18,780.68
2011-05-19,791.12
2011-05-20,812.04
2011-05-21,848.72
2011-05-22,853.36
2011-05-23,858.8
2011-05-24,851.76
2011-05-25,843.32
2011-05-26,827.8
2011-05-27,840.12
2011-05-28,813.64
2011-05-29,781.52
2011-05-30,757.92
2011-05-31,738.24
2011-06-01,739.24
2011-06-02,767.92
2011-06-03,796.72
2011-06-04,803.64
2011-06-05,828.16
2011-06-06,879.16
2011-06-07,940.08
2011-06-08,963.92
2011-06-09,975.72
2011-06-10,994.08
2011-06-11,1016.12
2011-06-12,1014.72
2011-06-13,1001.72
2011-06-14,971.24
2011-06-15,942.44
2011-06-16,925.4
2011-06-17,919.88
2011-06-18,928.68
2011-06-19,932.72
2011-06-20,926.92
2011-06-21,924.32
2011-06-22,960.2
2011-06-23,1046.6
2011-06-24,1155.28
2011-06-25,1230.56
2011-06-26,1259.36
2011-06-27,1260.96
2011-06-28,1253.0
2011-06-29,1225.96
2011-06-30,1176.2
2011-07-01,1121.32
2011-07-02,1079.96
2011-07-03,1056.16
2011-07-04,1084.12
2011-07-05,1184.44
2011-07-06,1247.36
2011-07-07,1225.92
2011-07-08,1171.04
2011-07-09,1112.2
2011-07-10,1057.32
2011-07-11,1023.32
2011-07-12,1037.08
2011-07-13,1079.36
2011-07-14,1107.16
2011-07-15,1121.4
2011-07-16,1128.24
2011-07-17,1166.04
2011-07-18,1279.24
2011-07-19,1356.24
2011-07-20,1355.56
2011-07-21,1343.16
2011-07-22,1341.08
2011-07-23,1363.84
2011-07-24,1418.8
2011-07-25,1470.4
2011-07-26,1492.84
2011-07-27,1471.92
2011-07-28,1460.32
2011-07-29,1468.28
2011-07-30,1461.48
2011-07-31,1429.04
2011-08-01,1391.84
2011-08-02,1376.12
2011-08-03,1356.36
2011-08-04,1330.6
2011-08-05,1296.84
2011-08-06,1276.0
2011-08-07,1260.04
2011-08-08,1269.76
2011-08-09,1316.96
2011-08-10,1359.96
2011-08-11,1388.32
2011-08-12,1392.68
2011-08-13,1374.76
2011-08-14,1354.92
2011-08-15,1359.0
2011-08-16,1353.8
2011-08-17,1323.8
2011-08-18,1298.16
2011-08-19,1321.08
2011-08-20,1389.96
2011-08-21,1378.84
2011-08-22,1341.64
2011-08-23,1305.68
2011-08-24,1281.8
2011-08-25,1241.76
2011-08-26,1184.24
2011-08-27,1175.08
2011-08-28,1213.64
2011-08-29,1291.44
2011-08-30,1330.4
2011-08-31,1309.8
2011-09-01,1261.16
2011-09-02,1192.88
2011-09-03,1133.12
2011-09-04,1081.24
2011-09-05,1049.44
2011-09-06,1043.84
2011-09-07,1028.4
2011-09-08,1057.12
2011-09-09,1104.32
2011-09-10,1175.8
2011-09-11,1216.96
2011-09-12,1208.92
2011-09-13,1208.56
2011-09-14,1223.68
2011-09-15,1211.2
2011-09-16,1163.28
2011-09-17,1104.04
2011-09-18,1055.96
2011-09-19,1023.88
2011-09-20,1013.2
2011-09-21,1003.4
2011-09-22,1018.12
2011-09-23,1053.4
2011-09-24,1079.96
2011-09-25,1075.8
2011-09-26,1050.88
2011-09-27,1033.56
2011-09-28,996.96
2011-09-29,979.96
2011-09-30,958.72
2011-10-01,938.24
2011-10-02,910.96
2011-10-03,885.8
2011-10-04,877.92
2011-10-05,873.8
2011-10-06,865.12
2011-10-07,866.8
2011-10-08,868.04
2011-10-09,857.8
2011-10-10,860.24
2011-10-11,889.92
2011-10-12,921.4
2011-10-13,962.52
2011-10-14,1131.6
2011-10-15,1308.84
2011-10-16,1418.84
2011-10-17,1437.84
2011-10-18,1422.76
2011-10-19,1380.52
2011-10-20,1334.2
2011-10-21,1275.32
2011-10-22,1241.24
2011-10-23,1229.68
2011-10-24,1234.6
2011-10-25,1218.04
2011-10-26,1178.76
2011-10-27,1124.28
2011-10-28,1071.92
2011-10-29,1031.44
2011-10-30,995.12
2011-10-31,948.12
2011-11-01,932.72
2011-11-02,927.64
2011-11-03,909.84
2011-11-04,893.72
2011-11-05,876.76
2011-11-06,861.0
2011-11-07,842.92
2011-11-08,828.12
2011-11-09,809.68
2011-11-10,800.84
2011-11-11,790.0
2011-11-12,777.2
2011-11-13,769.96
2011-11-14,756.44
2011-11-15,747.76
2011-11-16,743.8
2011-11-17,739.76
2011-11-18,732.88
2011-11-19,729.36
2011-11-20,721.12
2011-11-21,708.88
2011-11-22,704.36
2011-11-23,702.12
2011-11-24,691.24
2011-11-25,686.12
2011-11-26,698.6
2011-11-27,698.48
2011-11-28,694.36
2011-11-29,681.36
2011-11-30,678.24
2011-12-01,673.0
2011-12-02,678.88
2011-12-03,689.36
2011-12-04,719.48
2011-12-05,732.76
2011-12-06,740.12
2011-12-07,793.84
2011-12-08,1000.08
2011-12-09,1194.92
2011-12-10,1345.68
2011-12-11,1462.48
2011-12-12,1588.48
2011-12-13,1663.64
2011-12-14,1716.52
2011-12-15,1758.88
2011-12-16,1749.12
2011-12-17,1813.2
2011-12-18,2001.52
2011-12-19,2468.28
2011-12-20,2882.48
2011-12-21,3077.44
2011-12-22,2879.92
2011-12-23,2521.92
2011-12-24,2321.52
2011-12-25,2291.84
2011-12-26,2405.36
2011-12-27,2597.16
2011-12-28,2683.0
2011-12-29,2556.04
2011-12-30,2304.52
2011-12-31,2106.4
2012-01-01,2020.84
2012-01-02,2054.68
2012-01-03,2193.28
2012-01-04,2498.6
2012-01-05,2976.8
2012-01-06,3365.24
2012-01-07,3755.36
2012-01-08,4248.92
2012-01-09,4622.92
2012-01-10,4826.6
2012-01-11,4676.52
2012-01-12,4311.32
2012-01-13,3884.08
2012-01-14,3467.56
2012-01-15,3082.64
2012-01-16,2722.08
2012-01-17,2429.16
2012-01-18,2202.64
2012-01-19,2048.92
2012-01-20,1981.04
2012-01-21,2026.24
2012-01-22,2208.04
2012-01-23,2587.16
2012-01-24,3121.8
2012-01-25,3611.6
2012-01-26,3859.68
2012-01-27,3815.92
2012-01-28,3572.44
2012-01-29,3219.64
2012-01-30,2832.8
2012-01-31,2490.12
2012-02-01,2272.72
2012-02-02,2108.16
2012-02-03,1965.16
2012-02-04,1850.56
2012-02-05,1741.6
2012-02-06,1659.56
2012-02-07,1576.8
2012-02-08,1497.04
2012-02-09,1404.36
2012-02-10,1331.0
2012-02-11,1289.16
2012-02-12,1266.68
2012-02-13,1233.56
2012-02-14,1198.2
2012-02-15,1181.92
2012-02-16,1185.4
2012-02-17,1209.0
2012-02-18,1270.48
2012-02-19,1327.0
2012-02-20,1368.96
2012-02-21,1385.84
2012-02-22,1408.36
2012-02-23,1431.52
2012-02-24,1423.84
2012-02-25,1398.76
2012-02-26,1357.48
2012-02-27,1338.44
2012-02-28,1335.0
2012-02-29,1346.36
2012-03-01,1371.16
2012-03-02,1385.52
2012-03-03,1379.68
2012-03-04,1362.16
2012-03-05,1358.0
2012-03-06,1363.84
2012-03-07,1381.64
2012-03-08,1395.16
2012-03-09,1411.04
2012-03-10,1408.0
2012-03-11,1391.96
2012-03-12,1369.48
2012-03-13,1355.88
2012-03-14,1333.76
2012-03-15,1316.8
2012-03-16,1295.28
2012-03-17,1266.96
2012-03-18,1248.36
2012-03-19,1231.12
2012-03-20,1222.64
2012-03-21,1221.56
2012-03-22,1227.52
2012-03-23,1233.88
2012-03-24,1239.44
